,steps: ,training loss:,top_1_err:,valid error: 
0,0,1.4866893291473389,0.5920000076293945,0.1293000051751733
1,1,1.0589350461959839,0.36000001430511475,0.1293000051751733
2,2,0.8572991490364075,0.3440000116825104,0.1293000051751733
3,3,0.8078703284263611,0.2720000147819519,0.1293000051751733
4,4,0.7052204608917236,0.2160000056028366,0.1293000051751733
5,5,0.6767430305480957,0.2240000069141388,0.1293000051751733
6,6,0.6177564263343811,0.20000000298023224,0.1293000051751733
7,7,0.6008790731430054,0.2160000056028366,0.1293000051751733
8,8,0.5086068511009216,0.15200001001358032,0.1293000051751733
9,9,0.5279375314712524,0.15200001001358032,0.1293000051751733
10,10,0.45751750469207764,0.13600000739097595,0.1293000051751733
11,11,0.41843634843826294,0.10400000214576721,0.1293000051751733
12,12,0.3764142096042633,0.1120000034570694,0.1293000051751733
13,13,0.3870919644832611,0.08000000566244125,0.1293000051751733
14,14,0.37897464632987976,0.07200000435113907,0.1293000051751733
15,15,0.3908652365207672,0.1120000034570694,0.1293000051751733
16,16,0.37674668431282043,0.10400000214576721,0.1293000051751733
17,17,0.3131517767906189,0.06400000303983688,0.1293000051751733
18,18,0.3254973590373993,0.04000000283122063,0.1293000051751733
19,19,0.3231349289417267,0.06400000303983688,0.1293000051751733
20,20,0.3465237319469452,0.09600000083446503,0.1293000051751733
21,21,0.3542773723602295,0.08000000566244125,0.1293000051751733
22,22,0.27407780289649963,0.06400000303983688,0.1293000051751733
23,23,0.3087216317653656,0.06400000303983688,0.1293000051751733
24,24,0.3476477563381195,0.0560000017285347,0.1293000051751733
25,25,0.26288506388664246,0.04000000283122063,0.1293000051751733
26,26,0.3219751715660095,0.06400000303983688,0.1293000051751733
27,27,0.3179395794868469,0.0560000017285347,0.1293000051751733
28,28,0.2752743065357208,0.04000000283122063,0.1293000051751733
29,29,0.2788001596927643,0.04800000041723251,0.1293000051751733
30,30,0.2594573199748993,0.01600000075995922,0.1293000051751733
31,31,0.3182661533355713,0.06400000303983688,0.1293000051751733
32,32,0.30644384026527405,0.04800000041723251,0.1293000051751733
33,33,0.3583320677280426,0.07200000435113907,0.1293000051751733
34,34,0.27470239996910095,0.03200000151991844,0.1293000051751733
35,35,0.31220772862434387,0.04800000041723251,0.1293000051751733
36,36,0.271008163690567,0.03200000151991844,0.1293000051751733
37,37,0.26568087935447693,0.03200000151991844,0.1293000051751733
38,38,0.26485925912857056,0.04800000041723251,0.1293000051751733
39,39,0.2655273377895355,0.024000000208616257,0.1293000051751733
40,40,0.2576603293418884,0.03200000151991844,0.1293000051751733
41,41,0.23590317368507385,0.03200000151991844,0.1293000051751733
42,42,0.2841256856918335,0.04000000283122063,0.1293000051751733
43,43,0.3818843960762024,0.08000000566244125,0.1293000051751733
44,44,0.3469374179840088,0.08000000566244125,0.1293000051751733
45,45,0.23704013228416443,0.01600000075995922,0.1293000051751733
46,46,0.2846015393733978,0.04800000041723251,0.1293000051751733
47,47,0.35642337799072266,0.06400000303983688,0.1293000051751733
48,48,0.2894476354122162,0.04000000283122063,0.1293000051751733
49,49,0.30605509877204895,0.04800000041723251,0.1293000051751733
